ancient,old,new,AAL-2 (0.1ug/ml) CFG#2473  Slide#:14742 11/30/2011 Alexa488  CMZ,AAL-2 (10ug/ml) CFG#2473  Slide#:14742 11/30/2011 Alexa488  CMZ,AAL-2 (200ug/ml) CFG#2473  Slide#:14735 11/29/2011 Alexa488  CMZ,rAAL-2 103ug/ml Slide#15874 CFG#2649 v5.1 Alexa594 10/16/12 HJ,Biotin-rAAL-2 (200ug/ml) CFG#2807  Slide#:16374 V5.1 05/23/2013 Alexa488  CMZ,AAL(fungal) (200ug/mL) Slide# 11468 CFG# 1743 02/12/2010 V4.1 Alexa488 CMZ,Fungal AAL (200ug/mL) Slide#12853 CFG#2003 STA 488 5/19/10 Hong,Fungal AAL-50 (50ug/mL) Slide# 11385 CFG#2003 Alexa488 5/25/10 Hong,Fungal AAL-1 (1ug/mL) Slide#11340 CFG#2003 Alexa488 5/21/10 Hong,Fungal AAL-0.1 (0.1ug/mL) Slide#11385 CFG#1066 Alexa488 5/21/10 Hong
Galα-Sp8,Gala-Sp8,Gala-Sp8,7.193949999999997,72.621425,19.6126,32.139174999999994,18.306175000000003,15.310299999999998,20.64775,1.7428250000000007,4.176825,4.207675000000001
Glcα-Sp8,Glca-Sp8,Glca-Sp8,12.99795,134.993025,178.302225,25.86415,35.209225,19.50652500000001,-2.6988499999999997,2.239200000000002,8.9714,6.068774999999995
Manα-Sp8,Mana-Sp8,Mana-Sp8,38.05685,70.77875,77.04797500000002,9.20495,9.408025000000002,23.39702500000001,4.569375,8.274649999999998,1.33805,4.6080000000000005
GalNAcα-Sp8,GalNAca-Sp8,GalNAca-Sp8,23.7804,38.099525,43.507,26.35227500000001,6.379975000000003,53.68380000000002,5.455300000000001,0.5805250000000006,3.6739999999999977,2.4056999999999995
GalNAcα-Sp15,Fuca-Sp8,GalNAca-Sp15,0.277000000000001,6.573375000000002,3.4083249999999983,27.657025000000033,5.612800000000003,16.87702500000006,13.832749999999995,6.4345250000000025,7.225974999999997,2.7553249999999987
Fucα-Sp8,Fuca-Sp9,Fuca-Sp8,5.634575000000004,20.61685,26.86277500000001,25.76495,-3.2555000000000014,27.233875,2.985475000000002,12.318324999999998,5.668724999999999,1.0146999999999995
Fucα-Sp9,Rha-Sp8,Fuca-Sp9,12.317475000000002,49.398125,46.67092499999999,21.50845,16.5206,22.695725000000003,4.5941000000000045,3.642475000000001,6.252700000000001,0.12530000000000108
Rhaα-Sp8,Neu5Aca-Sp8,Rhaa-Sp8,19.565924999999982,43.58862499999999,63.312375,2.0992500000000014,6.305724999999999,76.092925,15.0896,6.232825,1.9629250000000005,0.1270250000000006
Neu5Acα-Sp8,Neu5Aca-Sp11,Neu5Aca-Sp8,0.9288999999999952,28.18290000000001,23.25495,15.308574999999998,3.951925,40.65529999999999,8.002399999999998,3.678275,5.0903,4.6587999999999985
Neu5Acα-Sp11,Neu5Acb-Sp8,Neu5Aca-Sp11,19.941275000000005,47.19357500000001,108.243825,9.437399999999998,17.419375,46.2277,5.41105,7.292599999999997,8.606624999999998,8.992975000000003
Neu5Acβ-Sp8,Galb-Sp8,Neu5Acb-Sp8,16.909575,14.620499999999993,45.95237500000002,12.728125,197.56075,3396.573075,8.165524999999999,6.766,5.583125,8.10325
Galβ-Sp8,Glcb-Sp8,Galb-Sp8,37.41765,87.46695,147.709125,32.92657500000001,43.63092500000001,20.281275,3.688849999999999,6.525174999999999,3.7443500000000007,12.28735
Glcβ-Sp8,Manb-Sp8,Glcb-Sp8,23.535899999999994,97.56855,195.6836,8.048824999999997,32.75914999999999,62.001325,2.9845749999999995,5.5072,3.80635,3.612125
Manβ-Sp8,GalNAcb-Sp8,Manb-Sp8,5.843725000000001,92.787875,184.5342,7.661025000000002,19.035125,52.09282500000001,2.349525,-0.9164250000000004,5.4712999999999985,2.9730750000000006
GalNAcβ-Sp8,GlcNAcb-Sp0,GalNAcb-Sp8,21.825199999999995,64.195075,56.68137500000001,29.1612,1.964875,14.640749999999993,8.025525000000002,8.591075000000002,6.005475,5.988299999999995
GlcNAcβ-Sp0,GlcNAcb-Sp8,GlcNAcb-Sp0,39.21932500000001,644.94735,6987.384324999999,-2.278599999999999,4612.396975,19962.2231,1021.151175,16.08455,11.2582,3.09595
GlcNAcβ-Sp8,,GlcNAcb-Sp8,49.739325,865.3795499999999,9182.637875,25.53017500000001,5639.974799999999,21535.127,5331.283875000001,11.003675,4.140625,5.061524999999999
GlcN(Gc)β-Sp8,GlcN(Gc)b-Sp8,GlcN(Gc)b-Sp8,7.642575000000001,51.52767499999999,68.84667500000003,12.032625,31.3813,12.996174999999996,7.152299999999999,5.693899999999998,5.880099999999999,4.233599999999999
Galβ1-4GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,0.6882249999999974,10.53575,23.552875,13.42775,-0.3728249999999989,44.569949999999984,5.033099999999999,5.287649999999998,1.592275,2.36435
,,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,22.37735,11.956875,57.54384999999999,8.23545,27.92225,,,,,
GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,6.710724999999997,6.0799499999999975,29.528675,11.766125000000002,59.05805000000001,256.951175,2.9359749999999987,1.363574999999999,4.7810250000000005,2.954825
[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,16.260025,9.146475,30.42664999999999,16.927849999999992,10.45965,42.8925,8.021324999999997,1.0051750000000013,4.235074999999998,4.351599999999999
[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,6S(3S)Galb1-4GlcNAcb-Sp0,15.176224999999995,24.52842499999999,38.24275,7.692149999999998,-3.8586,1.2203499999999998,3.4153,18.399324999999987,5.30075,15.550975
[3OSO3]Galβ1-4(Fucα1-3)[6OSO3]Glc-Sp0,[3OSO3]Galb1-4(Fuca1-3)[6OSO3]Glc-Sp0,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,23.965275,20.850275000000003,35.194725,9.415025000000004,12.296574999999995,1333.0583749999996,18.795324999999995,5.7183,3.0855750000000013,9.534125
