ancient,old,new,CTB 0.001ug/ml Slide#14525 CFG#2342 v5.0 Alexa488 10/13/11 HJ,CTB 0.01ug/ml Slide#14525 CFG#2342 v5.0 Alexa488 10/13/11 HJ,CTB 0.1ug/ml Slide#14501 CFG#2342 v5.0 Alexa488 10/4/11 HJ,CTB 1ug/ml Slide#14486 CFG#2342 v5.0 Alexa488 10/3/11 HJ,CTB 10ug/ml Slide#14501 CFG#2342 v5.0 Alexa488 10/13/11 HJ,WT-VCC (180ug/ml) CFG#2364 Slide#:14512 10/06/2011 Alexa488  CMZ,WT-VCC (10ug/ml) CFG#2364 Slide#:14518 10/06/2011 Alexa488  CMZ,WT-VCC (1ug/ml) CFG#2364 Slide#:14518 10/06/2011 Alexa488  CMZ,VCC-truncated 180ug/ml Slide#14638 CFG#2364 v5.0 Alexa488 11/7/11 HJ,CtxB T49I 200ug/ml Slide#14930 CFG#2485 v5.0 Alexa488 12/19/11 HJ,CtxB H20Y 200ug/ml Slide#14931 CFG#2485 v5.0 Alexa488 12/19/11 HJ,CtxB dm 200ug/ml Slide#14928 CFG#2485 v5.0 Alexa488 12/19/11 HJ,CtxB classical 200ug/ml Slide#14929 CFG#2485 v5.0 Alexa488 12/19/11 HJ,Cad-1 (200ug/mL) Slide#11341 CFG#1847 v4.1 Alexa488 1/14/10 Hong,Cad-2(200ug/mL) Slide#11342 CFG#1847 v4.1 Alexa488 1/14/10 Hong,Cad-3 (200ug/mL) Slide#11343 CFG#1847 v4.1 Alexa488 1/14/10 Hong
Galα-Sp8,Gala-Sp8,Gala-Sp8,204.116175,143.4866,197.4202750000001,391.63345,193.26125,241.80352500000004,192.2314,218.912775,360.0752,45.082025,97.375,324.468675,150.61345,3.582875,1.0768250000000004,1.404325000000001
Glcα-Sp8,Glca-Sp8,Glca-Sp8,143.04979999999995,140.98895,97.23600000000003,143.467825,171.3997,552.1876,70.40892499999998,141.72549999999995,586.503025,11.11305,832.4151000000003,919.894275,344.7392250000001,4.1788750000000014,4.63415,-1.6307250000000009
Manα-Sp8,Mana-Sp8,Mana-Sp8,184.35130000000004,347.72602500000005,336.1836000000001,385.62817500000006,244.142925,488.012075,173.26492499999995,275.7462250000001,229.03947499999995,187.356475,330.900575,255.20775000000003,145.3968,4.063975000000001,-0.42062499999999936,2.4929000000000023
GalNAcα-Sp8,GalNAca-Sp8,GalNAca-Sp8,68.52087499999999,109.08325000000004,113.37697500000002,106.954175,140.80265000000003,456.039775,113.53897500000002,101.555275,72.339675,12.813550000000005,30.912425,140.21622499999998,111.371325,-1.903125,2.373625000000001,-0.2220000000000013
GalNAcα-Sp15,Fuca-Sp8,GalNAca-Sp15,175.82217499999993,199.0847,158.8544,231.988425,145.0823,1212.581675,226.99650000000003,179.192275,114.87942499999996,15.283674999999995,20.1436,36.2797,20.078549999999996,3.902725000000001,-0.6395999999999988,-2.3916999999999984
Fucα-Sp8,Fuca-Sp9,Fuca-Sp8,92.67895,69.71695,43.213699999999974,214.31765,166.11005000000026,456.73555,124.23042500000004,115.03334999999998,83.155425,46.81512499999999,45.9134,198.05847500000004,57.67310000000001,2.9592750000000017,0.07010000000000005,16.2154
Fucα-Sp9,Rha-Sp8,Fuca-Sp9,168.1763,171.12917500000003,85.49879999999997,141.28432500000005,339.3197249999999,503.579025,140.69540000000003,121.51502499999998,77.42654999999995,37.318525,71.48502500000002,154.68009999999995,67.71439999999998,-0.10867499999999987,3.4552249999999987,-2.5829000000000004
Rhaα-Sp8,Neu5Aca-Sp8,Rhaa-Sp8,142.992125,128.7625,86.80045000000001,75.711475,105.01920000000004,497.69185,41.971425,112.58732499999998,54.341225,17.970100000000006,36.335675,159.50057499999997,67.50725,4.305349999999999,-2.485149999999999,10.427050000000008
Neu5Acα-Sp8,Neu5Aca-Sp11,Neu5Aca-Sp8,196.1426,132.51730000000003,164.846675,187.52067500000004,113.53642499999998,329.065575,241.77795,271.5095500000001,217.8934,31.01280000000001,265.83785,116.01805,72.34660000000002,-1.9745000000000013,4.362475,-3.8560000000000008
Neu5Acα-Sp11,Neu5Acb-Sp8,Neu5Aca-Sp11,177.85055,205.33440000000004,147.1017,170.2369,55.23542500000005,318.95515,214.94235000000003,181.39595,143.984375,39.290725,39.54235,127.3409,79.99780000000001,3.071675,11.3348,-2.8546499999999995
Neu5Acβ-Sp8,Galb-Sp8,Neu5Acb-Sp8,55.003175,140.45569999999998,124.19267500000004,228.08152499999997,137.77195000000003,455.71777499999985,113.48744999999998,138.65319999999997,55.9775,15.140675,74.11340000000004,92.871775,25.64095,2.595324999999999,2.345275000000001,2.07845
Galβ-Sp8,Glcb-Sp8,Galb-Sp8,188.7447,94.97379999999998,81.08019999999995,208.7552,146.34785,620.81265,143.6902,111.87827500000004,169.94825,85.21949999999998,246.53397500000003,367.78277499999984,200.363325,12.707349999999995,-0.7513000000000014,6.637724999999988
Glcβ-Sp8,Manb-Sp8,Glcb-Sp8,155.09247500000004,187.16845,104.15502499999997,127.1397,96.20045,416.40819999999985,158.414075,123.86195,403.84287500000005,10.899575,268.5279,697.6503,74.161725,0.5674000000000001,0.3880000000000017,0.7446750000000009
Manβ-Sp8,GalNAcb-Sp8,Manb-Sp8,198.782275,162.29715000000004,102.687925,127.48739999999998,126.587625,620.6730000000001,32.386725,80.90005000000002,725.60255,37.17442499999999,32.30295000000001,425.461675,9.9653,0.4961500000000018,1.8974749999999991,1.3389499999999996
GalNAcβ-Sp8,GlcNAcb-Sp0,GalNAcb-Sp8,141.5369,182.73377500000004,228.544075,239.80745,267.21152500000005,643.5737999999999,175.480625,205.1999,161.57460000000006,24.7543,18.559149999999995,340.9859749999999,92.994325,-1.4004750000000021,1.0249249999999996,8.764850000000001
GlcNAcβ-Sp0,GlcNAcb-Sp8,GlcNAcb-Sp0,136.72017499999998,176.42202500000005,187.889025,111.229475,134.8265,414.3921,80.73632500000002,86.17495000000002,71.597275,27.621725,35.983825,141.326775,10.438349999999998,1.0109249999999994,7.376124999999997,3.4400749999999984
GlcNAcβ-Sp8,,GlcNAcb-Sp8,166.18375,226.245525,126.8494,222.322675,104.82095000000004,647.2972249999998,101.3265,91.3681,57.878400000000006,22.916575,29.7874,238.05475,49.17905,-0.35290000000000044,5.302024999999999,1.88595
GlcN(Gc)β-Sp8,GlcN(Gc)b-Sp8,GlcN(Gc)b-Sp8,270.4787,115.507875,77.55232499999998,203.08335,83.59592500000002,532.4603000000002,132.54699999999997,93.027425,103.57915000000004,8.873349999999993,20.680275000000005,111.76045,31.89615000000001,4.624224999999999,-0.5508749999999996,1.228500000000002
Galβ1-4GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,89.97017500000003,54.445675,65.45297499999998,48.97452499999999,51.71742499999999,823.7783499999998,180.52819999999997,120.53552500000002,35.6618,126.1678,175.84145,491.439175,189.097325,7.120425000000003,4.7505000000000015,2.390199999999999
,,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,154.11634999999995,235.357025,88.77847499999996,63.48157500000001,226.28465,869.5384,115.74375,92.39335,72.47182500000002,17.31945,21.21925,66.45604999999999,45.51390000000001,,,
GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,74.62012500000003,56.588,101.52557499999998,34.346800000000016,109.32230000000004,673.340175,90.24662500000002,124.07835,50.25935000000001,17.499075000000005,20.9939,75.22155,34.960899999999995,-2.3667499999999992,0.009675000000000544,3.062800000000001
[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,92.33545,21.29755,173.99282499999995,20.477149999999995,58.305125,742.0930249999999,180.383125,108.38905000000004,183.41244999999995,14.586525000000002,48.190525,38.2738,22.063025,2.045,1.2903000000000002,2.1580249999999994
[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,6S(3S)Galb1-4GlcNAcb-Sp0,130.013825,81.99022500000002,122.536375,56.869625000000006,76.686625,602.7528749999999,248.32227500000005,187.2009,110.209275,7.0017999999999985,52.874675,89.42454999999998,30.882625000000004,-0.025099999999998342,2.5364999999999998,0.4551000000000007
[3OSO3]Galβ1-4(Fucα1-3)[6OSO3]Glc-Sp0,[3OSO3]Galb1-4(Fuca1-3)[6OSO3]Glc-Sp0,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,409.0739,432.94345,233.29979999999992,416.54284999999993,390.583575,1298.477375,226.88725000000005,241.41635,112.34577500000003,53.05505,40.125225000000015,42.16602500000001,31.8975,4.6777000000000015,-0.13520000000000046,2.874699999999999
[3OSO3]Galβ1-4Glcβ-Sp8,[3OSO3]Galb1-4Glcb-Sp8,(3S)Galb1-4Glcb-Sp8,193.15674999999996,105.411525,149.471875,205.48107500000003,62.08925000000001,397.79425,101.34495000000004,167.58645,212.16005,52.293925,179.957925,388.89474999999993,220.758575,-0.01712499999999917,3.927025,4.373599999999998
