ancient,old,new,Human DC-Sigh-AF488 200ug/ml Slide#15317 CFG#2569 v5.0 Alexa488 3/28/12 HJ,Human DC-Sign-R-AF488 200ug/ml Slide#15318 CFG#2569 v5.0 Alexa488 3/28/12 HJ,Human DC-Sign-tetramer 200ug/ml Slide#15320 CFG#2569 v5.0 Alexa488 3/29/12 HJ,Human-DC-Sign-R-Tetramer 200ug/ml Slide#15321 CFG#2569 v5.0 Alexa488 3/29/12 HJ,Human DC-Sign(Gal) (200ug/mL) Slide#11435 CFG#1874 v4.1 Alexa488 2/4/10 Hong
Galα-Sp8,Gala-Sp8,Gala-Sp8,39.21,27.922675,24.473424999999995,28.735475000000005,5.238699999999999
Glcα-Sp8,Glca-Sp8,Glca-Sp8,26.8728,392.43210000000016,16.0417,57.691375,1.496175000000001
Manα-Sp8,Mana-Sp8,Mana-Sp8,22.409025,124.74885,50.244125,253.52395,2.703225000000001
GalNAcα-Sp8,GalNAca-Sp8,GalNAca-Sp8,11.387250000000002,126.389275,53.69302500000001,25.59885,4.555450000000005
GalNAcα-Sp15,Fuca-Sp8,GalNAca-Sp15,61.7207,53.9526,38.30842500000001,98.050875,8.329575000000002
Fucα-Sp8,Fuca-Sp9,Fuca-Sp8,20.218725,58.673775000000006,26.643475,35.112425,11.761425000000004
Fucα-Sp9,Rha-Sp8,Fuca-Sp9,180.044325,241.730675,150.636575,215.55995,0.2763999999999989
Rhaα-Sp8,Neu5Aca-Sp8,Rhaa-Sp8,25.02467500000001,26.29957500000002,20.3898,133.62557500000003,11.70604999999999
Neu5Acα-Sp8,Neu5Aca-Sp11,Neu5Aca-Sp8,37.990225,66.89557499999998,37.251425,66.65015000000001,3.180750000000001
Neu5Acα-Sp11,Neu5Acb-Sp8,Neu5Aca-Sp11,17.760975000000006,32.73224999999999,50.99667499999999,27.759224999999994,1.5848750000000005
Neu5Acβ-Sp8,Galb-Sp8,Neu5Acb-Sp8,101.0868,173.64380000000003,23.154925,30.375375000000005,2.7938000000000014
Galβ-Sp8,Glcb-Sp8,Galb-Sp8,16.764674999999997,27.240075,18.142725000000006,27.71667500000001,7.035599999999998
Glcβ-Sp8,Manb-Sp8,Glcb-Sp8,17.6487,117.30342500000002,15.808774999999995,78.82740000000003,4.5059
Manβ-Sp8,GalNAcb-Sp8,Manb-Sp8,77.03159999999995,186.030525,39.79622500000001,52.1533,9.961349999999996
GalNAcβ-Sp8,GlcNAcb-Sp0,GalNAcb-Sp8,34.46445,199.03975000000003,22.787175,18.374649999999995,0.038274999999998734
GlcNAcβ-Sp0,GlcNAcb-Sp8,GlcNAcb-Sp0,22.898800000000005,29.996174999999994,48.26557499999999,35.97509999999999,0.16055000000000064
GlcNAcβ-Sp8,,GlcNAcb-Sp8,17.170250000000006,37.47185,24.703525,134.1617,5.848674999999997
