ancient,old,new,Galectin-4 (20ug/ml) Slide#: 13620 Cfg#2283 04/01/2011 V5.0 Alexa488 CMZ,Gal-4 (0.5ug/mL) Slide# 13116 CFG# 1440 08/26/2010 V4.2 Alexa488 CMZ,Gal-4 (5ug/mL) Slide# 13116 CFG# 1440 08/26/2010 V4.2 Alexa488 CMZ,Gal-4 (50ug/mL) Slide# 13116 CFG# 1440 08/26/2010 V4.2 Alexa488 CMZ,Gal-4 (100ug/mL) Slide# 13116 CFG# 1440 08/30/2010 V4.2 Alexa488 CMZ
Galα-Sp8,Gala-Sp8,Gala-Sp8,10.62885,16.4347,27.9964,34.198225,57.45705
Glcα-Sp8,Glca-Sp8,Glca-Sp8,9.12275,20.615875,14.1022,20.0055,15.447375
Manα-Sp8,Mana-Sp8,Mana-Sp8,49.749325,7.952575,6.990875,12.653825,18.045975
GalNAcα-Sp8,GalNAca-Sp8,GalNAca-Sp8,20.4285,10.0841,10.117775,17.66075,38.4538
GalNAcα-Sp15,Fuca-Sp8,GalNAca-Sp15,31.8049,12.05785,9.272225,11.217725,18.810325
Fucα-Sp8,Fuca-Sp9,Fuca-Sp8,16.282125,8.427175,4.5962,12.229875,14.94355
Fucα-Sp9,Rha-Sp8,Fuca-Sp9,9.51085,25.4624,7.849775,26.177575,19.047475
Rhaα-Sp8,Neu5Aca-Sp8,Rhaa-Sp8,20.15915,15.661,15.26305,16.1681,58.184
Neu5Acα-Sp8,Neu5Aca-Sp11,Neu5Aca-Sp8,51.48545,9.882,8.102325,3.011975,18.525275
Neu5Acα-Sp11,Neu5Acb-Sp8,Neu5Aca-Sp11,26.1144,11.619225,13.240925,9.711275,17.45425
Neu5Acβ-Sp8,Galb-Sp8,Neu5Acb-Sp8,27.311875,5.727225,12.395925,20.64485,18.7648
Galβ-Sp8,Glcb-Sp8,Galb-Sp8,18.88895,12.7227,11.939525,14.250125,29.177275
Glcβ-Sp8,Manb-Sp8,Glcb-Sp8,7.448475,20.1074,16.231775,53.7607,95.207175
Manβ-Sp8,GalNAcb-Sp8,Manb-Sp8,15.378625,5.6764,8.1197,31.3381,13.7108
GalNAcβ-Sp8,GlcNAcb-Sp0,GalNAcb-Sp8,53.09485,19.2828,5.379775,20.565975,41.567425
GlcNAcβ-Sp0,GlcNAcb-Sp8,GlcNAcb-Sp0,37.14335,18.2359,16.606025,31.5752,68.24595
GlcNAcβ-Sp8,,GlcNAcb-Sp8,10.8815,14.80225,7.421425,47.79955,119.39475
GlcN(Gc)β-Sp8,GlcN(Gc)b-Sp8,GlcN(Gc)b-Sp8,22.539525,10.8708,7.353075,11.846425,25.424575
