ancient,old,new,SBA 0.1ug/ml Slide#14032 CFG# 2342 v5.0 Alexa488 6/27/11 HJ,SBA 1ug/ml Slide#14041 CFG#2342 v5.0 Alexa488 6/27/11 HJ,SBA 10ug/ml Slide#14042 CFG#2342 v5.0 Alexa488 6/27/11 HJ,SBA 100ug/ml Slide#14032 CFG#2342 v5.0 Alexa488 6/27/11 HJ,SBA(EY lab) (10ug/ml) Slide#14173 rRequest#2342 Alexa488 2011-7-6 YL,SBA (1 ug/ml) Slide#13684 Request#non Mahal project 4/15/2011 Alexa488 YL ,SBA (10 ug/ml) Slide#13637 Request#non Mahal project 4/11/2011 Alexa488 YL ,SBA (100 ug/ml) Slide#13684 Request#non Mahal project 4/15/2011 Alexa488 YL
Galα-Sp8,Gala-Sp8,Gala-Sp8,18.021149999999995,9.176224999999988,3.5049499999999987,2.372824999999997,15.966924999999994,-1.4888500000000011,-21.510974999999995,-11.064199999999996
Glcα-Sp8,Glca-Sp8,Glca-Sp8,9.945575,9.831199999999997,8.910175000000002,18.793125,31.80342499999999,-0.6596250000000019,-21.186675000000005,-23.220075
Manα-Sp8,Mana-Sp8,Mana-Sp8,13.1226,25.7511,7.371949999999996,3.942725000000001,42.836449999999964,16.570824999999996,-14.671499999999993,-11.658450000000002
GalNAcα-Sp8,GalNAca-Sp8,GalNAca-Sp8,344.1094500000001,3996.146775,29269.375925,34914.868899999994,8285.017325,-6.9535750000000025,1472.72185,16712.787825
GalNAcα-Sp15,Fuca-Sp8,GalNAca-Sp15,23.302575,1274.7145999999998,8038.15855,24224.23980000001,446.96449999999993,0.8385750000000005,-31.517374999999994,103.270675
Fucα-Sp8,Fuca-Sp9,Fuca-Sp8,15.910425000000005,8.9838,12.229499999999998,-1.0401249999999889,13.607749999999996,-7.077325,-21.953975,-21.001050000000006
Fucα-Sp9,Rha-Sp8,Fuca-Sp9,16.815324999999994,8.539000000000005,-2.525549999999999,-19.409575,11.994699999999995,-14.992350000000002,21.298775000000006,-25.99235
Rhaα-Sp8,Neu5Aca-Sp8,Rhaa-Sp8,6.551949999999998,5.956850000000002,3.3515750000000004,-21.372825,17.8523,-8.568074999999999,-26.734475,-15.4207
Neu5Acα-Sp8,Neu5Aca-Sp11,Neu5Aca-Sp8,0.6308249999999997,10.809324999999998,-8.43995,-24.036225,26.109675,-11.096675,-37.485100000000024,-14.051450000000004
Neu5Acα-Sp11,Neu5Acb-Sp8,Neu5Aca-Sp11,13.533400000000006,11.882799999999998,8.008875000000002,-15.486449999999998,25.59484999999999,8.797374999999994,-41.54165,-3.2038499999999988
Neu5Acβ-Sp8,Galb-Sp8,Neu5Acb-Sp8,7.163999999999998,10.952875000000002,5.985525000000003,1.281999999999993,9.434725000000004,-10.766550000000004,-80.762775,-15.787799999999995
Galβ-Sp8,Glcb-Sp8,Galb-Sp8,17.831325,17.327199999999998,7.875975,19.771875,38.0945,20.105525,-28.009775,-13.437325
Glcβ-Sp8,Manb-Sp8,Glcb-Sp8,12.99905,15.435775000000005,5.12135,-3.6004249999999995,14.563024999999996,-2.0182249999999997,-10.222224999999998,-19.865175
Manβ-Sp8,GalNAcb-Sp8,Manb-Sp8,1.189700000000001,14.844425000000005,4.537075,13.106525,50.1125,-5.823674999999998,1.0481750000000003,-21.9275
GalNAcβ-Sp8,GlcNAcb-Sp0,GalNAcb-Sp8,77.421975,1875.5470750000006,17331.102899999998,27009.469000000005,1908.7722000000006,11.356799999999994,187.1225,5072.006525
GlcNAcβ-Sp0,GlcNAcb-Sp8,GlcNAcb-Sp0,2.7729999999999984,3.637775,7.788125,33.605025000000005,13.649799999999995,24.67697499999999,-31.4171,-25.934600000000003
GlcNAcβ-Sp8,,GlcNAcb-Sp8,12.911825,8.573274999999997,16.592150000000004,-26.22825,7.918025000000004,-6.167649999999997,-24.43080000000001,-22.785850000000003
GlcN(Gc)β-Sp8,GlcN(Gc)b-Sp8,GlcN(Gc)b-Sp8,3.550600000000001,13.955825,22.5684,-25.980025,11.220224999999996,-28.820449999999994,-27.22285,-25.816099999999995
Galβ1-4GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,10.902975000000005,7.754175,3.999449999999999,-24.236825,7.186450000000002,-10.665300000000002,-1.0575,-5.984650000000002
,,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,26.84595,7.144500000000002,8.149125000000002,64.04564999999997,5.814949999999998,-11.353025000000002,-5.779375,-27.827725
GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,9.62435,2.5825,2.404924999999998,-51.83047500000001,7.729225000000001,-14.500525000000005,-11.276725,-16.113775000000004
[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,5.291825000000003,-1.4316250000000004,-2.9011750000000016,-45.44112499999999,3.1706000000000003,-15.158025,-35.39385,-28.032925
[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,6S(3S)Galb1-4GlcNAcb-Sp0,10.5494,5.433075000000002,3.61505,-22.692075,5.737824999999996,-9.814275000000006,-16.322049999999994,-14.235875
[3OSO3]Galβ1-4(Fucα1-3)[6OSO3]Glc-Sp0,[3OSO3]Galb1-4(Fuca1-3)[6OSO3]Glc-Sp0,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,39.29240000000001,40.76245,18.634675,-40.319924999999984,33.472825,2.0884749999999954,-0.7968249999999948,-33.170325000000005
[3OSO3]Galβ1-4Glcβ-Sp8,[3OSO3]Galb1-4Glcb-Sp8,(3S)Galb1-4Glcb-Sp8,16.233600000000006,9.738775,8.560349999999996,10.871750000000002,24.6182,-0.4911750000000019,-14.496725,-8.824175
[3OSO3]Galβ1-4[6OSO3]Glcβ-Sp0,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,(3S)Galb1-4(6S)Glcb-Sp0,14.088549999999998,10.195724999999982,9.579725000000002,26.255949999999984,19.307649999999995,-3.108125,-14.762525000000005,-13.439750000000002
