ancient,old,new,SNA (0.005ug/ml) Slide#:13802 Cfg# 2342 05/31/2011 V5.0 Alexa488 CMZ,SNA (0.001ug/ml) Slide#:13800 Cfg# 2342 05/31/2011 V5.0 Alexa488 CMZ,SNA (0.1ug/ml) Slide#:13801 Cfg# 2342 05/31/2011 V5.0 Alexa488 CMZ,SNA (0.5ug/ml) Slide#:13802 Cfg# 2342 05/31/2011 V5.0 Alexa488 CMZ,SNA (1ug/ml) Slide#:13800 Cfg# 2342 05/31/2011 V5.0 Alexa488 CMZ,SNA (5ug/ml) Slide#:13801 Cfg# 2342 05/31/2011 V5.0 Alexa488 CMZ,SNA 10ug/ml Slide#13631 CFG#non v5.0 Alexa488 4/11/11 HJ,SNA 0.5ug/ml Slide#13671 CFG#non v5.0 Alexa488 4/15/11 HJ,SNA 100ug/ml Slide#13670 CFG#non v5.0 Alexa488 4/15/11 HJ,SNA II (EY Lab)  (0.1ug/ml) CFG#2342 Slide#:14340 08/05/2011 V5.0 Cy5 CMZ,SNA II(EY Lab) (1ug/ml) Slide#:14308 Cfg#2342 07/27/2011 V5.0 CY5 CMZ,SNA II (EY Lab) (10ug/ml) CFG#2342 Slide#:14340 08/05/2011 V5.0 Cy5 CMZ,SNA II(EY Lab) (100ug/ml) Slide#:14308 Cfg#2342 07/27/2011 V5.0 CY5 CMZ,SNA I (EY Lab) (0.1 ug/ml) Slide#14209 rRequest#2342 Alexa488 2011-7-13 YL,SNA I (EY Lab) (100 ug/ml) Slide#14209 rRequest#2342 Alexa488 2011-7-13 YL,SNA (0.1ug/mL) Slide11505  08/25/2009 AF488 70PMT90LP
Galα-Sp8,Gala-Sp8,Gala-Sp8,18.981925,9.970625,21.948725,10.093225,6.254075,18.750875,1144.7273,32.963775,124.809575,49.8057,93.684325,54.2137,283.675,1.5347,96.16605,11.4787
Glcα-Sp8,Glca-Sp8,Glca-Sp8,31.265975,25.6918,20.397875,7.860525,30.030675,7.018125,1749.740825,-87.53845,269.79115,62.5991,122.681675,94.888275,305.72195,14.731875,117.628225,16.51285
Manα-Sp8,Mana-Sp8,Mana-Sp8,38.329975,22.910325,26.50025,23.31305,42.3603,-2.5583,1416.6633,-105.571175,247.577425,48.71265,154.095875,67.684525,233.16205,8.59535,110.96955,17.68225
GalNAcα-Sp8,GalNAca-Sp8,GalNAca-Sp8,5.890775,1.9723,7.838025,16.0845,-12.646975,26.815125,303.959925,-150.674525,46.563075,15.5069,590.53415,135.984825,1256.4455,3.7729,55.164275,9.6223
GalNAcα-Sp15,Fuca-Sp8,GalNAca-Sp15,9.8774,36.402425,19.750475,17.907625,44.26095,23.84755,956.5606,-41.528,-8.5196,77.115,96.5103,86.77295,252.967525,2.76725,215.030975,24.0916
Fucα-Sp8,Fuca-Sp9,Fuca-Sp8,3.245825,-4.32875,13.909525,5.7937,7.36205,0.243475,730.144925,104.960575,-32.0334,21.545475,28.96775,22.250625,59.2076,8.2774,-3.7223,9.993875
Fucα-Sp9,Rha-Sp8,Fuca-Sp9,9.2108,33.593275,10.951575,3.595975,11.083225,1.855175,96.07915,109.268225,-81.6192,41.551425,88.116275,22.40265,125.5023,2.3686,-6.772375,27.3289
Rhaα-Sp8,Neu5Aca-Sp8,Rhaa-Sp8,23.582075,-10.709625,5.0946,23.23525,3.477075,-2.52375,469.0901,-76.595825,-61.6307,49.2078,53.920375,28.032875,72.42295,-1.80885,124.114425,41.4565
Neu5Acα-Sp8,Neu5Aca-Sp11,Neu5Aca-Sp8,3.861725,12.873575,0.377875,10.53505,8.816125,23.70735,119.808725,22.7157,396.761975,14.66455,23.8358,-1.4439,39.71785,-1.0162,-9.200575,2.973
Neu5Acα-Sp11,Neu5Acb-Sp8,Neu5Aca-Sp11,7.818225,10.4544,8.3148,10.13155,0.24045,13.692975,157.46905,-74.061975,-63.875225,30.505825,27.077675,23.108275,32.665475,3.0394,-10.796025,20.64785
Neu5Acβ-Sp8,Galb-Sp8,Neu5Acb-Sp8,8.633625,18.794775,12.4408,5.876625,17.118475,7.944975,378.766875,-21.600825,-199.685175,68.667575,41.8465,28.6265,83.957575,14.1713,-8.65935,24.98595
Galβ-Sp8,Glcb-Sp8,Galb-Sp8,23.41465,14.078875,5.550775,1.59205,34.119675,23.9866,419.255225,321.1245,122.32255,41.567125,97.664525,94.9153,237.670675,3.87835,-11.101325,30.8797
Glcβ-Sp8,Manb-Sp8,Glcb-Sp8,16.5925,3.43875,7.452275,12.7118,15.051875,7.16705,122.5159,-66.368525,177.62835,75.314925,193.3931,92.562,381.975625,10.47615,-22.724075,13.659
Manβ-Sp8,GalNAcb-Sp8,Manb-Sp8,4.70705,9.642725,11.386125,11.504225,-7.3639,0.23025,91.747525,682.7596,132.95215,50.364,180.213525,529.496475,305.478725,7.368475,89.2588,31.948875
GalNAcβ-Sp8,GlcNAcb-Sp0,GalNAcb-Sp8,13.192125,8.32255,8.985875,12.8068,8.511125,16.7724,98.442075,-187.612525,87.171675,28.2135,59.349925,386.6288,2270.354225,8.070825,7.42745,25.896325
GlcNAcβ-Sp0,GlcNAcb-Sp8,GlcNAcb-Sp0,5.34,11.610325,12.37825,-0.7722,34.801625,2.295675,17.973,10.3213,0.5299,48.304175,71.19845,330.883025,163.700825,2.6713,-3.219175,16.69155
GlcNAcβ-Sp8,,GlcNAcb-Sp8,6.114025,24.60205,7.091325,3.744125,-12.5888,2.03865,154.21625,-89.4472,-7.735375,41.82105,86.188625,25.669175,140.64855,6.730075,15.0351,19.590275
GlcN(Gc)β-Sp8,GlcN(Gc)b-Sp8,GlcN(Gc)b-Sp8,5.762625,-10.755675,7.545025,10.0918,34.411125,9.6053,192.565175,17.111875,-58.1206,55.168,133.0906,63.1499,254.88195,7.5726,-8.339125,13.051075
Galβ1-4GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,4.9075,17.341075,7.74735,15.779025,31.19585,9.520975,63.50185,-69.695375,-41.359325,18.0026,36.76765,38.5065,68.876225,5.6572,-0.545475,55.0056
,,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,12.639925,75.75995,21.63805,4.12255,48.943575,8.987525,206.155325,156.40185,-88.701325,62.297525,177.895275,929.7418,321.0555,2.42075,9.419975,
GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,7.456175,22.996575,4.20705,9.68735,-1.7173,23.429475,205.0901,-42.854175,-46.235,12.51355,13.00085,1.6864,73.867325,1.09145,5.4108,10.406525
[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,4.157725,-8.815275,8.8358,-3.71235,-27.9806,2.407975,505.680875,770.56785,448.737675,50.93415,32.04015,87.073825,36.357375,0.337275,1183.22835,-4.336875
[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,6S(3S)Galb1-4GlcNAcb-Sp0,9.80035,-0.810225,27.656675,18.042175,-23.121075,2.801325,314.768425,174.369375,-55.03905,10.222675,43.77565,32.810425,482.088975,1.028,7.264,0.33005
[3OSO3]Galβ1-4(Fucα1-3)[6OSO3]Glc-Sp0,[3OSO3]Galb1-4(Fuca1-3)[6OSO3]Glc-Sp0,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,23.42535,153.8352,25.2073,42.524025,128.462125,23.83895,348.40655,302.048375,-8.54765,42.454475,115.727025,74.738025,257.7547,16.924025,-14.4137,70.5229
[3OSO3]Galβ1-4Glcβ-Sp8,[3OSO3]Galb1-4Glcb-Sp8,(3S)Galb1-4Glcb-Sp8,4.8007,16.792075,8.47055,9.77595,-5.172125,2.893675,1373.349425,-47.224075,20.971925,9.2615,105.4783,32.90465,266.566225,8.35285,14851.05038,19.9415
[3OSO3]Galβ1-4[6OSO3]Glcβ-Sp0,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,(3S)Galb1-4(6S)Glcb-Sp0,5.8213,10.67835,11.5897,2.72155,2.986725,3.95525,1882.2075,-77.478275,20.84595,22.618525,16.79155,24.751,102.1249,18.16265,15964.39638,27.95795
[3OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,(3S)Galb1-4(6S)Glcb-Sp8,3.6984,6.49385,6.629625,5.4759,-0.676475,2.574825,1347.11205,21.66965,-35.971725,16.940175,73.8298,37.2665,570.639,15.419625,20253.33105,52.828525
[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ-Sp8,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,12.07265,0.1606,5.4668,2.632575,2.227825,3.171475,145.318175,-95.8707,106.429625,18.535925,25.791625,9.8166,46.8327,1.6056,15.222,20.0874
[3OSO3]Galβ1-3GalNAcα-Sp8,[3OSO3]Galb1-3GalNAca-Sp8,(3S)Galb1-3GalNAca-Sp8,5.7169,-6.03285,12.5481,1.305975,-5.684625,3.1991,252.406525,157.315775,22.9097,34.096075,120.11665,178.165775,697.488625,12.48135,4464.2433,37.3871
[3OSO3]Galβ1-3GlcNAcβ-Sp0,[3OSO3]Galb1-3GlcNAcb-Sp8,(3S)Galb1-3GlcNAcb-Sp0,10.876075,-3.7375,8.3176,5.5459,-10.6503,20.024975,33.056075,68.30595,15.9059,1.284,31.418375,9.1709,22.50905,6.46195,2104.717875,32.56615
[3OSO3]Galβ1-3GlcNAcβ-Sp8,,(3S)Galb1-3GlcNAcb-Sp8,3.336325,-3.0371,-3.5332,3.8169,-8.863775,8.56815,215.6182,-18.448,-95.789475,28.50645,33.420725,20.544425,190.847825,5.788675,3438.43215,42.5656
[3OSO3]Galβ1-4(Fucα1-3)GlcNAc-Sp0,[3OSO3]Galb1-4(Fuca1-3)GlcNAc-Sp0 ,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,13.553025,-1.258875,7.5058,7.953075,-1.4472,7.0026,278.451475,-23.445925,-46.475475,122.201125,114.486,100.1966,136.405975,9.0854,16.58485,21.8249
[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ-Sp8,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,1.26145,8.038325,8.462725,1.933575,-14.659175,5.01015,188.104925,-7.940525,336.096025,14.5007,5.3002,-8.5464,29.960375,0.35955,-5.31405,22.4768
[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,(3S)Galb1-4(6S)GlcNAcb-Sp0,6.658825,9.505425,14.637025,28.641525,14.4894,3.343075,445.903325,-3.810325,-25.967775,23.2502,35.641975,84.2942,84.597675,43.1732,17099.93697,27.678875
[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,(3S)Galb1-4(6S)GlcNAcb-Sp8,16.682375,-12.7809,-1.1954,6.2225,-6.351775,0.695275,1241.87195,61.91565,-137.4676,13.66395,19.877425,93.715225,86.541325,15.200075,19386.75235,32.502325
[3OSO3]Galβ1-4GlcNAcβ-Sp0,[3OSO3]Galb1-4GlcNAcb-Sp0,(3S)Galb1-4GlcNAcb-Sp0,1.2978,11.1611,10.25585,4.954475,-4.262125,-4.448825,153.609975,543.6067,-48.928425,19.393625,16.2005,57.023625,134.97685,14.009075,14109.9424,28.539175
[3OSO3]Galβ1-4GlcNAcβ-Sp8,[3OSO3]Galb1-4GlcNAcb-Sp8,(3S)Galb1-4GlcNAcb-Sp8,1.8541,0.12245,4.157625,3.575675,-5.353525,8.17255,74.64995,-28.9024,55.308425,26.781325,50.73745,42.79835,109.652725,14.04605,16603.38785,15.4391
[3OSO3]Galβ-Sp8,[3OSO3]Galb-Sp8,(3S)Galb-Sp8,8.6071,3.5981,17.98485,1.9185,-1.232325,11.373225,-4.869375,211.60925,67.792225,31.179,143.802925,722.0212,249.867175,4.265525,87.8841,19.2642
[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,(6S)(4S)Galb1-4GlcNAcb-Sp0,-3.50235,7.34655,6.228375,9.72895,28.71405,2.1322,209.647525,-74.7784,-28.980025,44.9019,18.496375,19.300925,14.618875,13.47225,-7.9401,12.393925
[4OSO3]Galβ1-4GlcNAcβ-Sp8,[4OSO3]Galb1-4GlcNAcb-Sp8,(4S)Galb1-4GlcNAcb-Sp8,-1.832875,-10.69975,4.0056,-5.8911,-20.490575,2.644375,-6.168825,-2.669775,-9.2216,5.71525,74.685825,591.781925,92.88405,2.0664,141.29635,23.294075
6-H2PO3Manα-Sp8,6-H2PO3Mana-Sp8,(6P)Mana-Sp8,4.438775,9.1534,14.8361,11.5225,36.9375,12.790375,1043.1994,-79.081675,85.3545,40.3738,149.1452,122.2004,202.993225,7.194475,179.082775,-1.0209
[6OSO3]Galβ1-4Glcβ-Sp0,[6OSO3]Galb1-4Glcb-Sp0,(6S)Galb1-4Glcb-Sp0,11.3436,0.7275,11.479025,3.80905,16.9429,7.568125,39.898,4831.375525,5051.25955,25.26785,124.6116,1145.227825,572.0752,6.759,85.36295,28.15355
[6OSO3]Galβ1-4Glcβ-Sp8,[6OSO3]Galb1-4Glcb-Sp8,(6S)Galb1-4Glcb-Sp8,21.521325,7.108375,7.784875,5.12665,29.8337,-2.92855,256.7899,1074.800225,3717.0075,27.337125,68.66255,110.87135,768.13595,6.381075,66.129275,16.21935
[6OSO3]Galβ1-4GlcNAcβ-Sp8,[6OSO3]Galb1-4GlcNAcb-Sp8,(6S)Galb1-4GlcNAcb-Sp8,-0.6294,22.89545,9.84605,1.097875,-11.687925,-1.51895,121.60215,17582.64238,24875.49538,24.297225,46.957525,101.423475,226.26065,6.65915,2819.5225,15.669525
[6OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,(6S)Galb1-4(6S)Glcb-Sp8,9.448175,20.88665,5.942775,10.012525,8.85335,17.479525,1364.73705,18910.66633,22843.4392,38.594975,73.555875,349.342575,9733.0634,4.4765,1771.598225,25.41855
Neu5Acα2-3[6OSO3]Galβ1-4GlcNAcβ-Sp8,Neu5Aca2-3[6OSO3]Galb1-4GlcNAcb-Sp8,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,1.36835,29.85925,2.2197,11.339925,2.182475,3.58305,120.346625,479.169275,-136.9776,32.718,20.495,30.9588,40.185175,-0.574675,2.2734,2.011825
[6OSO3]GlcNAcβ-Sp8,[6OSO3]GlcNAcb-Sp8,(6S)GlcNAcb-Sp8,5.7996,2.848675,10.57755,2.858775,-11.0705,-2.286225,502.155625,138.3025,-133.336975,24.174325,27.742875,43.5765,226.7937,3.644825,1.7597,9.40985
[9NAc]Neu5Acα-Sp8,Neu5Ac(9Ac)a-Sp8,"Neu5,9Ac2a-Sp8",5.072725,-20.314225,7.355,20.801475,-26.039175,4.270625,-6.529125,116.140575,-55.78605,16.6954,28.23315,29.2469,31.577775,6.4662,-3.3545,25.477975
[9NAc]Neu5Acα2-6Galβ1-4GlcNAcβ-Sp8,Neu5Ac(9Ac)a2-6Galb1-4GlcNAcb-Sp8,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",28.363775,147.82775,719.58185,4808.431425,5206.779125,23432.44418,43136.7743,49009.08183,39795.28475,8.33515,14.930375,2.138475,38.5651,69.868475,45574.3702,21952.7922
Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,37.63475,40.621825,41.054575,23.77965,83.8859,40.6343,195.203375,-73.33315,20.874575,6298.365075,2902.3127,36826.63172,35175.01415,8.9556,2.34065,184.887525
Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,45.265375,43.821825,64.466825,49.051675,33.136875,21.22845,734.122075,-101.99645,41.238575,8927.28715,6412.11845,37008.2078,38865.62798,5.752175,9.071425,401.56535
