ancient,old,new,UEA I 0.1ug/ml Slide#13806 rRequest#2342 Alexa488 5/31/2011 YL,UEA I 1ug/ml Slide#13807 rRequest#2342 Alexa488 5/31/2011 YL,UEA I 100ug/ml Slide#13806 rRequest#2342 Alexa488 5/31/2011 YL,UEA I (EY lab) (10ug/ml) Slide#14174 rRequest#2342 Alexa488 2011-7-6 YL,UEAII 1ug/ml Slide#14247 CFG#2342 v5.0 Alexa488 7/19/11 HJ,UEAII 5ug/ml Slide# CFG#2342 v5.0 Alexa488 7/19/11 HJ,UEAII 10ug/ml Slide#14248 CFG#2342 v5.0 Alexa488 7/19/11 HJ,UEAII 100ug/ml Slide#14235 CFG#2342 v5.0 Alexa488 7/18/11 HJ,UEA I (0.01ug/ml) Slide#13635 Request#non Mahal project 4/5/2011 Alexa488 YL ,UEA I (0.1 ug/ml) Slide#13635 Request#non Mahal project 4/11/2011 Alexa488 YL ,UEA I (0.5ug/ml) Slide#13636 Request#non Mahal project 4/15/2011 Alexa488 YL ,UEA I (1ug/ml) Slide#13685 Request#non Mahal project 4/15/2011 Alexa488 YL ,UEA I (50 ug/ml) Slide#13686 Request#non Mahal project 4/15/2011 Alexa488 YL,UEA I (100 ug/ml) Slide#13685 Request#non Mahal project 4/15/2011 Alexa488 YL,UEA I (10ug/ml) Slide#13635 Request#non Mahal project 4/11/2011 Alexa488 YL ,UEA (0.1ug/mL) Slide11724 08/25/2009 AF488 70PMT90LP
Galα-Sp8,Gala-Sp8,Gala-Sp8,5.118825,10.055125,8.613025,23.1856,4.5955,1.787325,9.7325,42.7745,8.955775,8.6097,-5.937425,-1.282875,-17.104875,-36.76505,13.575125,7.881125
Glcα-Sp8,Glca-Sp8,Glca-Sp8,17.27275,20.216325,18.8964,7.705225,-2.235925,9.335625,5.8103,70.65005,16.60135,25.76515,0.7443,10.917775,-13.161425,-9.5893,15.16515,-2.060225
Manα-Sp8,Mana-Sp8,Mana-Sp8,36.866275,23.281975,14.128075,70.115525,4.571625,9.468175,3.735725,35.496925,21.6091,20.71285,-4.50045,11.173075,-3.270975,-24.47115,8.503775,-2.21605
GalNAcα-Sp8,GalNAca-Sp8,GalNAca-Sp8,28.1945,-1.6239,-5.5323,5.083525,11.398625,12.842475,0.919375,-0.0921,8.46925,-3.17365,6.82315,-9.50565,-26.643425,-19.871,-0.808025,6.1894
GalNAcα-Sp15,Fuca-Sp8,GalNAca-Sp15,13.117025,31.79235,12.5295,37.055425,6.1674,12.010325,2.752875,-0.7981,25.04825,10.24705,-9.977025,-11.914275,-10.963625,-16.4222,-4.481825,6.613325
Fucα-Sp8,Fuca-Sp9,Fuca-Sp8,7.2817,168.015875,6891.90375,5292.807475,-2.115775,3.478125,8.287575,21.3059,23.017325,5.2895,-12.4404,3.9038,1107.103725,4550.822375,256.821975,20.905975
Fucα-Sp9,Rha-Sp8,Fuca-Sp9,10.230475,284.568725,7245.644175,5096.1681,2.062075,3.37275,8.08075,15.628275,3.676125,9.930475,-5.1089,3.835425,883.206125,3739.45495,251.259925,53.217575
Rhaα-Sp8,Neu5Aca-Sp8,Rhaa-Sp8,-5.53735,5.47535,-7.834325,8.07155,36.633875,7.651175,11.477,176.527475,0.937925,-1.6409,-7.375325,-5.159325,-16.683275,-27.893175,-7.870575,11.550875
Neu5Acα-Sp8,Neu5Aca-Sp11,Neu5Aca-Sp8,2.2729,-2.348925,-14.62835,24.188325,-4.453125,25.15205,-5.2966,24.668275,4.218775,-1.387225,0.7937,0.639125,-29.9134,-2.555025,-7.3068,-0.1807
Neu5Acα-Sp11,Neu5Acb-Sp8,Neu5Aca-Sp11,0.958975,17.440175,-13.6026,9.947525,9.2411,17.97665,-1.723875,246.54605,7.9984,-10.15545,-3.891875,0.982725,-28.58615,-28.16095,-9.086025,-4.585525
Neu5Acβ-Sp8,Galb-Sp8,Neu5Acb-Sp8,-4.727125,3.242375,-26.1896,0.472475,3.83905,6.571025,2.419225,64.6219,4.339575,-9.837975,-6.185475,6.626725,-22.140075,3.244925,-15.8055,8.324675
Galβ-Sp8,Glcb-Sp8,Galb-Sp8,18.998675,2.0827,4.829125,9.2835,6.772025,-3.592175,5.761725,9.4615,8.999575,24.21355,-2.195075,-0.748925,-12.105275,-6.351575,13.15915,24.97985
Glcβ-Sp8,Manb-Sp8,Glcb-Sp8,21.0607,13.077225,15.418025,23.49225,-0.471225,2.45435,1.56735,31.25635,4.205675,3.265875,-5.053275,-7.7474,-23.086825,-14.6914,10.020625,4.212075
Manβ-Sp8,GalNAcb-Sp8,Manb-Sp8,21.0573,8.7927,6.277275,30.300975,5.872325,10.080225,9.5019,-10.5878,17.280275,-1.206325,5.12115,-2.975925,-4.921775,-11.417525,5.435025,2.85515
GalNAcβ-Sp8,GlcNAcb-Sp0,GalNAcb-Sp8,13.00125,5.0008,11.344625,15.24095,-0.781075,3.4288,-4.31905,-2.510575,32.586525,10.633175,1.25315,11.04685,-15.01295,-15.513325,17.0513,0.6709
GlcNAcβ-Sp0,GlcNAcb-Sp8,GlcNAcb-Sp0,7.606775,6.55455,-19.49395,20.17115,4.344275,2.58155,-0.9901,-25.99895,16.980625,-4.534125,-2.935475,11.531225,-18.61785,-3.80255,2.497325,9.20585
GlcNAcβ-Sp8,,GlcNAcb-Sp8,3.112525,-5.55765,-0.785925,20.5645,1.399725,6.656875,5.29455,14.914075,13.84665,-8.763925,-11.609075,4.358975,-23.38065,-15.02585,5.827925,-2.422775
GlcN(Gc)β-Sp8,GlcN(Gc)b-Sp8,GlcN(Gc)b-Sp8,12.1328,4.9326,19.876875,14.124675,-0.0127,-5.877025,-2.250125,-16.248,12.1362,5.3127,3.8764,-9.47395,-11.0461,-18.479,-8.433075,15.605275
Galβ1-4GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,12.824775,-3.641475,20.6303,6.6318,-5.5069,-0.0982,1.170875,-16.48625,22.931175,1.189,-11.983075,-0.616725,-20.9911,3.59305,-2.6839,1.990225
,,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,25.780175,18.500275,21.999725,6.51195,7.0063,0.92235,12.463925,77.398425,4.47835,-0.156675,-13.651425,-7.313925,-20.576375,-13.22905,18.81065,
