Index,IUPAC
1,Gal(a1-Sp8
2,Glc(a1-Sp8
3,Man(a1-Sp8
4,GalNAc(a1-Sp8
5,GalNAc(a1-Sp15
6,Fuc(a1-Sp8
7,Fuc(a1-Sp9
8,Rha(a1-Sp8
9,Neu5Ac(a1-Sp8
10,Neu5Ac(a1-Sp11
11,Neu5Ac(b1-Sp8
12,Gal(b1-Sp8
13,Glc(b1-Sp8
14,Man(b1-Sp8
15,GalNAc(b1-Sp8
16,GlcNAc(b1-Sp0
17,GlcNAc(b1-Sp8
18,GlcN(Gc)(b1-Sp8
19,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8
20,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(b1-Sp14
21,GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(b1-Sp8
22,6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0
23,6S(3S)Gal(b1-4)GlcNAc(b1-Sp0
24,(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(1-Sp0
25,(3S)Gal(b1-4)Glc(b1-Sp8
26,(3S)Gal(b1-4)(6S)Glc(b1-Sp0
27,(3S)Gal(b1-4)(6S)Glc(b1-Sp8
28,(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8
29,(3S)Gal(b1-3)GalNAc(a1-Sp8
30,(3S)Gal(b1-3)GlcNAc(b1-Sp0
31,(3S)Gal(b1-3)GlcNAc(b1-Sp8
32,(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(1-Sp0
33,(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(1-Sp8
34,(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0
35,(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8
36,(3S)Gal(b1-4)GlcNAc(b1-Sp0
37,(3S)Gal(b1-4)GlcNAc(b1-Sp8
38,(3S)Gal(b1-Sp8
39,(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0
40,(4S)Gal(b1-4)GlcNAc(b1-Sp8
41,(6P)Man(a1-Sp8
42,(6S)Gal(b1-4)Glc(b1-Sp0
43,(6S)Gal(b1-4)Glc(b1-Sp8
44,(6S)Gal(b1-4)GlcNAc(b1-Sp8
45,(6S)Gal(b1-4)(6S)Glc(b1-Sp8
46,Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8
47,(6S)GlcNAc(b1-Sp8
48,"Neu5,9Ac2(a1-Sp8"
49,"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8"
50,Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
51,Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13
52,GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
53,GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13
54,Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
55,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
56,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13
57,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21
58,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24
59,Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9
60,Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9
61,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8
62,Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8
63,Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14
64,Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
65,Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9
66,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8
67,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10
68,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0
69,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8
70,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
71,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
72,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
73,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
74,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
75,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
76,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0
77,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8
78,Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0
79,Fuc(a1-2)Gal(b1-Sp8
80,Fuc(a1-3)GlcNAc(b1-Sp8
81,Fuc(a1-4)GlcNAc(b1-Sp8
82,Fuc(b1-3)GlcNAc(b1-Sp8
83,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0
84,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
85,(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0
86,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0
87,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
88,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0
89,GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8
90,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8
91,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18
92,GalNAc(a1-3)GalNAc(b1-Sp8
93,GalNAc(a1-3)Gal(b1-Sp8
94,GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
95,GalNAc(b1-3)GalNAc(a1-Sp8
96,GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8
97,GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0
98,GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
99,GalNAc(b1-4)GlcNAc(b1-Sp0
100,GalNAc(b1-4)GlcNAc(b1-Sp8
101,Gal(a1-2)Gal(b1-Sp8
102,Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0
103,Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8
104,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
105,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
106,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0
107,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0
108,Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8
109,Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18
110,Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8
111,Gal(a1-3)GalNAc(a1-Sp8
112,Gal(a1-3)GalNAc(a1-Sp16
113,Gal(a1-3)GalNAc(b1-Sp8
114,Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
115,Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0
116,Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8
117,Gal(a1-3)Gal(b1-4)Glc(b1-Sp0
118,Gal(a1-3)Gal(b1-4)Glc(b1-Sp10
119,Gal(a1-3)Gal(b1-Sp8
120,Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
121,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0
122,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8
123,Gal(a1-4)Gal(b1-4)Glc(b1-Sp0
124,Gal(a1-4)GlcNAc(b1-Sp8
125,Gal(a1-6)Glc(b1-Sp8
126,Gal(b1-2)Gal(b1-Sp8
127,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
128,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
129,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0 
130,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8 
131,Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8
132,Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8
133,Gal(b1-4)GlcNAc(b1-6)GalNAc(b1-Sp14
134,GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8 
135,GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14
136,Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8
137,Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14
138,Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8
139,Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10
140,Gal(b1-3)GalNAc(a1-Sp8
141,Gal(b1-3)GalNAc(a1-Sp14
142,Gal(b1-3)GalNAc(a1-Sp16
143,Gal(b1-3)GalNAc(b1-Sp8
144,Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0
145,Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
146,Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8
147,Gal(b1-3)Gal(b1-Sp8
148,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
149,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10
150,Gal(b1-3)GlcNAc(b1-Sp0
151,Gal(b1-3)GlcNAc(b1-Sp8
152,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
153,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
154,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
155,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
156,Gal(b1-4)(6S)Glc(b1-Sp0
157,Gal(b1-4)(6S)Glc(b1-Sp8
158,Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
159,Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
160,Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8
161,Gal(b1-4)GlcNAc(b1-3)GalNAc(b1-Sp14
